Data number,Team1,Team2,Probability,Predict
351,尼克,溜馬,[ 0.39302446  0.60697554],1
351,鵜鶘,塞爾提,[ 0.40567389  0.59432611],1
351,爵士,灰狼,[ 0.51242445  0.48757555],0
351,金塊,雷霆,[ 0.26070415  0.73929585],1
351,暴龍,公牛,[ 0.54037169  0.45962831],0
351,黃蜂,馬刺,[ 0.40751035  0.59248965],1
351,老鷹,小牛,[ 0.59780247  0.40219753],0
351,活塞,拓荒者,[ 0.44663626  0.55336374],1
301,尼克,溜馬,[ 0.28766704  0.71233296],1
301,鵜鶘,塞爾提,[ 0.310831  0.689169],1
301,爵士,灰狼,[ 0.5217215  0.4782785],0
301,金塊,雷霆,[ 0.28988124  0.71011876],1
301,暴龍,公牛,[ 0.54299271  0.45700729],0
301,黃蜂,馬刺,[ 0.32298466  0.67701534],1
301,老鷹,小牛,[ 0.62150912  0.37849088],0
301,活塞,拓荒者,[ 0.36819944  0.63180056],1
251,尼克,溜馬,[ 0.3003103  0.6996897],1
251,鵜鶘,塞爾提,[ 0.32266332  0.67733668],1
251,爵士,灰狼,[ 0.47039683  0.52960317],1
251,金塊,雷霆,[ 0.24374428  0.75625572],1
251,暴龍,公牛,[ 0.55630575  0.44369425],0
251,黃蜂,馬刺,[ 0.32399352  0.67600648],1
251,老鷹,小牛,[ 0.63018975  0.36981025],0
251,活塞,拓荒者,[ 0.38685733  0.61314267],1
201,尼克,溜馬,[ 0.22699096  0.77300904],1
201,鵜鶘,塞爾提,[ 0.30420929  0.69579071],1
201,爵士,灰狼,[ 0.37275884  0.62724116],1
201,金塊,雷霆,[ 0.21766211  0.78233789],1
201,暴龍,公牛,[ 0.48079349  0.51920651],1
201,黃蜂,馬刺,[ 0.2823375  0.7176625],1
201,老鷹,小牛,[ 0.61817974  0.38182026],0
201,活塞,拓荒者,[ 0.41447692  0.58552308],1
151,尼克,溜馬,[ 0.2135912  0.7864088],1
151,鵜鶘,塞爾提,[ 0.33324105  0.66675895],1
151,爵士,灰狼,[ 0.38546396  0.61453604],1
151,金塊,雷霆,[ 0.22042159  0.77957841],1
151,暴龍,公牛,[ 0.55420715  0.44579285],0
151,黃蜂,馬刺,[ 0.34977408  0.65022592],1
151,老鷹,小牛,[ 0.61271323  0.38728677],0
151,活塞,拓荒者,[ 0.4206483  0.5793517],1
101,尼克,溜馬,[ 0.16369873  0.83630127],1
101,鵜鶘,塞爾提,[ 0.18666487  0.81333513],1
101,爵士,灰狼,[ 0.31405434  0.68594566],1
101,金塊,雷霆,[ 0.20174522  0.79825478],1
101,暴龍,公牛,[ 0.47410435  0.52589565],1
101,黃蜂,馬刺,[ 0.24916682  0.75083318],1
101,老鷹,小牛,[ 0.52729555  0.47270445],0
101,活塞,拓荒者,[ 0.48160975  0.51839025],1
